gene,mean_shap_rank,mean_attn_rank,combined_rank_score,n_folds,mean_shap_importance,mean_attention
SAMD11,3355.00,2329.00,5684.00,2,3.38927e-06,0.000179655
SLC6A6,3623.67,2061.67,5685.33,2,7.82703e-06,0.000210695
VNN1,3856.67,1828.67,5685.33,3,1.82252e-06,0.00013141
NDRG4,3365.33,2320.33,5685.67,2,2.78538e-06,0.000168511
RAB38,1925.00,3762.00,5687.00,3,8.17156e-06,0.000108036
NAMPT,2122.67,3564.67,5687.33,2,1.05709e-05,0.000161882
ABCC6,3299.00,2389.00,5688.00,2,7.53981e-06,0.000235815
CT83,3437.33,2251.00,5688.33,3,4.52743e-06,0.00012785
AGTR1,2548.67,3141.33,5690.00,3,1.00267e-05,0.000116541
SNX21,2326.00,3365.67,5691.67,2,2.44704e-05,0.0001
PRKX,2274.67,3418.00,5692.67,3,5.74911e-06,0.000119719
SLC38A5,3409.00,2284.00,5693.00,2,3.34968e-06,0.000242164
CDC42-IT1,2895.00,2798.00,5693.00,2,1.07458e-05,0.000136026
HPSE,2875.67,2817.67,5693.33,3,1.05585e-05,0.000136059
MALL,1972.33,3721.33,5693.67,3,1.28456e-05,0.00012104
PIK3R1,2686.67,3007.67,5694.33,2,7.38227e-06,0.000129414
KRT6B,3755.33,1939.33,5694.67,3,2.69254e-06,0.000119492
KIF20A,3269.67,2426.00,5695.67,2,1.06204e-05,0.000149391
FBXW7,2519.00,3176.67,5695.67,2,6.99307e-06,0.000137059
E2F8,2960.00,2737.33,5697.33,2,7.07358e-06,0.000137457
CCDC88B,3601.67,2096.67,5698.33,2,3.98078e-06,0.000234004
GLIPR2,1944.67,3755.67,5700.33,3,6.74577e-06,0.000110223
IRF1,1655.00,4045.33,5700.33,3,1.21446e-05,0.000113375
GOSR1,3280.00,2421.67,5701.67,2,3.99465e-06,0.000151408
DLC1,2372.33,3329.33,5701.67,2,8.37971e-06,0.00011898
FAM89A,1874.67,3827.00,5701.67,3,7.29341e-06,0.000129043
PARP8,3195.33,2507.33,5702.67,3,5.35617e-06,0.000132636
